metric_key,metric_name,year,value,unit,source_type,source_file,page,source_url,evidence_text,confidence,status,note
dividend_total,分红总额,2025,154.12,亿元,annual_report,中远海控2025年报.pdf,2,,2025年度预计共派发现金红利约人民币154.12亿元（中期86.74亿+末期67.38亿）,high,reviewed,年报原文+akshare交叉验证
eps,基本每股收益,2025,1.99,元/股,annual_report,中远海控2025年报.pdf,7,,(二) 主要财务指标 主要财务指标 2025年 2024年 本期比上年同期增减(%) 2023年 基本每股收益（元／股） 1.99 3.08 -35.39 1.48 稀释每股收益（元／股） 1.99 3.08 -35.39 1.48 扣除非经常性损益后的基本每 股收益（元／股） 1.98,high,reviewed,
equity_parent,归属于上市公司股东的净资产,2025,2322.65,亿元,annual_report,中远海控2025年报.pdf,7,,"3.50 主要会计数据 2025年末 2024年末 本期末比上 年同期末增 减（%） 2023年末 归属于上市公司股 东的净资产 232,265,324,350.62 234,668,062,562.89 -1.02 196,115,227,226.87 总资产 483,758,023 ,838.79 497,472,213",high,reviewed,
freight_volume,航运运量,2025,2743.5,万TEU,annual_report,中远海控2025年报.pdf,21,,本集团集装箱航运货运量合计2743.5万TEU,high,reviewed,年报行业经营性信息分析-集装箱航运业务-货运量表格合计行
interest_bearing_debt,有息负债,2025,440.77,亿元,annual_report,中远海控2025年报.pdf,97,,短期借款20.69亿；长期借款252.73亿；应付债券0(资产负债表显示为-)；一年内到期非流动负债167.36亿；合计440.77亿,high,reviewed,短期借款+长期借款+应付债券+一年内到期的非流动负债
market_cap,年末总市值,2025,1914,亿元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价×流通股本,high,reviewed,自动获取
net_profit_parent,归属于上市公司股东的净利润,2025,308.68,亿元,annual_report,中远海控2025年报.pdf,7,,"526.88 66,889,531,688.45 -37.21 33,079,791,412.51 归属于上市公司股 东的净利润 30,868,147,821.38 49,100,495,233.55 -37.13 23,860,168,952.59 归属于上市公司股 东的扣除非经常性 损益的净利润 30,727,290,",high,reviewed,
operating_cash_flow,经营活动产生的现金流量净额,2025,455.46,亿元,annual_report,中远海控2025年报.pdf,7,,"693.06 49,017,179,110.85 -37.31 23,752,171,108.28 经营活动产生的现 金流量净额 45,545,770,431.23 69,312,919,440.49 -34.29 22,583,829,373.50 主要会计数据 2025年末 2024年末 本期末比上 年同期末增 减（%",high,reviewed,
pb_year_end,年末市净率PB,2025,0.82,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷每股净资产,high,reviewed,
pe_year_end,年末市盈率PE,2025,7.6,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷EPS,high,reviewed,
revenue,营业收入,2025,2195.04,亿元,annual_report,中远海控2025年报.pdf,7,,"位：元 币种：人民币 主要会计数据 2025年 2024年 本期比上年 同期增减(%) 2023年 营业收入 219,503,805,222.70 233,859,078,966.99 -6.14 175,452,975,431.13 利润总额 41,999,673,526.88 66,889,531,6",high,reviewed,
roe,加权平均净资产收益率,2025,13.17,%,annual_report,中远海控2025年报.pdf,7,,1.48 扣除非经常性损益后的基本每 股收益（元／股） 1.98 3.07 -35.50 1.47 加权平均净资产收益率（%） 13.17 22.60 减少9.43个百分点 11.80 扣除非经常性损益后的加权平 均净资产收益率（%） 13.11 22.56 减少9.45个百分点 11.74 报告,high,reviewed,
terminal_revenue,码头业务收入,2025,120.41,亿元,annual_report,中远海控2025年报.pdf,15,,中远海运港口码头业务收入120.41 亿元，同比增加12.31 亿元，增幅11.39%。,high,reviewed,规则抽取+人工核对年报确认
total_assets,总资产,2025,4837.58,亿元,annual_report,中远海控2025年报.pdf,7,,"50.62 234,668,062,562.89 -1.02 196,115,227,226.87 总资产 483,758,023 ,838.79 497,472,213,736.26 -2.76 462,570,619,365.72 (二) 主要财务指标 主要财务指标 2025年 2024年 本期比上年",high,reviewed,
year_end_close,年末收盘价,2025,15.18,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年末收盘价,high,reviewed,自动获取
year_high,年度最高价,2025,16.89,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最高价,high,reviewed,自动获取
year_low,年度最低价,2025,12.74,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最低价,high,reviewed,自动获取
ccfi_average,CCFI 年均值,2026,1130.00,点,external,,,file:data/external_sources/ccfi_weekly.csv Q1周度算术平均,2026年Q1(1-3月)共11周CCFI周度数据算术平均=1130.00点,high,reviewed,周度数据算术平均，口径与年度CCFI一致
container_shipping_revenue,集装箱航运收入,2026,496.38,亿元,annual_report,中远海控2026年一季度报.pdf,7,,"Q1集装箱航运业务收入49,638,082千元",high,reviewed,2026年一季报，单季度数据
eps,基本每股收益,2026,0.38,元/股,annual_report,中远海控2026年一季度报.pdf,2,,Q1基本每股收益0.38元,high,reviewed,2026年一季报，单季度数据
equity_parent,归母权益,2026,2356.90,亿元,annual_report,中远海控2026年一季度报.pdf,11,,"Q1末归母权益235,689,581,989.21元",high,reviewed,2026年一季报，单季度数据
freight_volume,航运运量,2026,691.6,万TEU,annual_report,中远海控2026年一季报.pdf,6,,本集团集装箱航运货运量691.6万TEU(Q1单季度),high,reviewed,年报行业经营性信息分析-集装箱航运业务-货运量表格合计行; Q1单季度
interest_bearing_debt,有息负债,2026,422.51,亿元,annual_report,中远海控2026年一季度报.pdf,10,,Q1末:短期借款13.23+长期借款241.60+一年内到期167.68=422.51亿(应付债券为0),high,reviewed,2026年一季报，单季度数据
net_profit_parent,归母净利润,2026,58.77,亿元,annual_report,中远海控2026年一季度报.pdf,2,,"Q1归母净利5,876,939,302.39元",high,reviewed,2026年一季报，单季度数据
operating_cash_flow,经营现金流,2026,111.25,亿元,annual_report,中远海控2026年一季度报.pdf,2,,"Q1经营现金流11,124,842,134.58元",high,reviewed,2026年一季报，单季度数据
revenue,营业收入,2026,517.97,亿元,annual_report,中远海控2026年一季度报.pdf,2,,"Q1营收51,796,875,575.87元",high,reviewed,2026年一季报，单季度数据
roe,加权平均净资产收益率,2026,2.51,%,annual_report,中远海控2026年一季度报.pdf,2,,Q1加权平均ROE 2.51%,high,reviewed,2026年一季报，单季度数据
total_assets,总资产,2026,4860.23,亿元,annual_report,中远海控2026年一季度报.pdf,10,,"Q1末总资产486,023,005,312.41元",high,reviewed,2026年一季报，单季度数据
