metric_key,metric_name,year,value,unit,source_type,source_file,page,source_url,evidence_text,confidence,status,note
interest_bearing_debt,有息负债,2021,838.69,亿元,annual_report,中远海控2021年报.pdf,83,,短期借款16.56亿；长期借款558.97亿；应付债券29.10亿；一年内到期非流动负债234.07亿；合计838.69亿,high,reviewed,短期借款+长期借款+应付债券+一年内到期的非流动负债
market_cap,年末总市值,2021,2118,亿元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价×流通股本,high,reviewed,自动获取
net_profit_parent,归属于上市公司股东的净利润,2021,892.96,亿元,annual_report,中远海控2021年报.pdf,6,,"50.96 171,258,833,813.71 94.85 151,056,682,119.72 归属于上市公司股东的净利润 89,296,137,821.43 9,927,098,239.01 799.52 6,764,104,771.48 归属于上市公司股东的扣除非经常性损益的净利润 89,178,741,601.",high,reviewed,
operating_cash_flow,经营活动产生的现金流量净额,2021,1709.48,亿元,annual_report,中远海控2021年报.pdf,6,,"1,601.68 9,593,418,830.78 829.58 1,585,437,943.57 经营活动产生的现金流量净额 170,948,374,301.81 45,030,555,340.04 279.63 21,202,371,528.39 2021年末 2020年末 本期末比上年同期末增减（%） 2019年末",high,reviewed,
pb_year_end,年末市净率PB,2021,1.59,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷每股净资产,high,reviewed,
pe_year_end,年末市盈率PE,2021,3.3,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷EPS,high,reviewed,
revenue,营业收入,2021,3336.94,亿元,annual_report,中远海控2021年报.pdf,6,,"单位：元 币种：人民币 主要会计数据 2021年 2020年 本期比上年同期增减(%) 2019年 营业收入 333,693,610,750.96 171,258,833,813.71 94.85 151,056,682,119.72 归属于上市公司股东的净利润 89,296,137,821.43 9,9",high,reviewed,
roe,加权平均净资产收益率,2021,101.11,%,annual_report,中远海控2021年报.pdf,6,,0.43 扣除非经常性损益后的基本每股收益（元／股） 5.58 0.60 830.00 0.10 加权平均净资产收益率（%） 101.11 25.05 增加76.06个百分点 21.57 扣除非经常性损益后的加权平均净资产收益率（%） 100.98 24.20 增加76.78个百分点 5.06 注,high,reviewed,
terminal_revenue,码头业务收入,2021,79.31,亿元,annual_report,中远海控2021年报.pdf,13,,中远海运港口码头业务收入79.31 亿元，同比增加9.26 亿元，增幅13.21%。,high,reviewed,规则抽取+人工核对年报确认
total_assets,总资产,2021,4136.68,亿元,annual_report,中远海控2021年报.pdf,6,,"586.73 43,913,865,928.85 203.08 35,359,676,133.83 总资产 413,668,080,701.40 271,926,073,831.72 52.13 262,224,029,547.74 (二) 主要财务指标 主要财务指标 2021年 2020年 本期比上年",high,reviewed,
year_end_close,年末收盘价,2021,18.69,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年末收盘价,high,reviewed,自动获取
year_high,年度最高价,2021,33.4,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最高价,high,reviewed,自动获取
year_low,年度最低价,2021,9.59,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最低价,high,reviewed,自动获取
buyback_amount,回购金额,2022,0.00,亿元,annual_report,中远海控2022年报.pdf,56,,年报A+H回购总额0.00亿元（A股部分akshare交叉验证一致）,high,reviewed,A+H合计，A股部分akshare交叉验证一致
ccfi_average,CCFI 年均值,2022,2792.14,点,external,,,file://data/external_sources/ccfi_annual_sources.md#2022,上海国际海事信息与文献网（SIMIC），全年52周算术平均,high,reviewed,年报未披露CCFI年均值，外部数据补齐
container_shipping_cost,集装箱航运成本,2022,2140.64,亿元,annual_report,中远海控2022年报.pdf,17,,集装箱航运业务成本2140.64亿元,high,reviewed,规则抽取，与收入口径一致
container_shipping_revenue,集装箱航运收入,2022,3840.36,亿元,annual_report,中远海控2022年报.pdf,17,,"团营业收入3,910.58 亿元，同比增加573.65 亿元，增幅17.19%。集装箱航 运业务收入3,840.36 亿元，同比增加561.08 亿元，增幅17.11%（其中：中远海运集运 2,577.51 亿元，同比增加346.04 亿元",medium,reviewed,人工核对年报确认
dividend_per_share,每股股利,2022,3.40,元/股,annual_report,中远海控2022年报.pdf,2,,akshare: 中期2.01+末期1.39=3.40元/股（2022-12-07中期20.1元/10股，2023-06-16末期13.9元/10股）,high,reviewed,akshare分红数据+年报核对
dividend_total,分红总额,2022,547.22,亿元,annual_report,中远海控2022年报.pdf,2,,2022年度共计派发现金红利人民币547.22亿元（中期323.50亿+末期223.72亿）,high,reviewed,年报原文+akshare交叉验证
eps,基本每股收益,2022,6.83,元/股,annual_report,中远海控2022年报.pdf,7,,指标 2022年 2021年 本期比上年同期增减(%) 2020年 调整后 调整前 调整后 调整前 基本每股收益（元／股） 6.83 5.59 5.59 22.18 0.63 0.62 稀释每股收益（元／股） 6.77 5.56 5.56 21.76 0.62 0.62 扣除非经常性损益后的,high,reviewed,
equity_parent,归属于上市公司股东的净资产,2022,2003.83,亿元,annual_report,中远海控2022年报.pdf,7,,"2年末 2021年末 本期末比上年同 期末增减（%） 2020年末 调整后 调整前 调整后 调整前 归属于上市公司股东的净资产 200,382,772,670.87 133,693,829,778.47 133,094,325,586.73 49.88 43,963,870,585.06 43,913,865,928.85",high,reviewed,
freight_volume,航运运量,2022,2441.2,万TEU,annual_report,中远海控2022年报.pdf,24,,本集团集装箱航运货运量合计2441.2万TEU,high,reviewed,年报行业经营性信息分析-集装箱航运业务-货运量表格合计行
interest_bearing_debt,有息负债,2022,583.77,亿元,annual_report,中远海控2022年报.pdf,99,,短期借款22.42亿；长期借款342.98亿；应付债券31.43亿；一年内到期非流动负债186.95亿；合计583.77亿,high,reviewed,短期借款+长期借款+应付债券+一年内到期的非流动负债
market_cap,年末总市值,2022,1311,亿元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价×流通股本,high,reviewed,自动获取
net_profit_parent,归属于上市公司股东的净利润,2022,1095.95,亿元,annual_report,中远海控2022年报.pdf,7,,"50.96 17.19 171,259,718,324.11 171,258,833,813.71 归属于上市公司股东的净利润 109,594,742,014.79 89,348,947,262.62 89,296,137,821.43 22.66 9,979,762,206.12 9,927,098,239.01 归属于",high,reviewed,
operating_cash_flow,经营活动产生的现金流量净额,2022,1967.99,亿元,annual_report,中远海控2022年报.pdf,7,,"41,601.68 22.26 9,593,418,830.78 9,593,418,830.78 经营活动产生的现金流量净额 196,798,805,100.41 171,008,537,026.07 170,948,374,301.81 15.08 45,084,123,058.97 45,030,555,340.04",high,reviewed,
pb_year_end,年末市净率PB,2022,0.65,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷每股净资产,high,reviewed,
pe_year_end,年末市盈率PE,2022,1.5,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷EPS,high,reviewed,
revenue,营业收入,2022,3910.58,亿元,annual_report,中远海控2022年报.pdf,7,,"据 2022年 2021年 本期比上年同期 增减(%) 2020年 调整后 调整前 调整后 调整前 营业收入 391,058,496,607.18 333,693,943,224.16 333,693,610,750.96 17.19 171,259,718,324.11 171,258,833,813.",high,reviewed,
roe,加权平均净资产收益率,2022,59.56,%,annual_report,中远海控2022年报.pdf,7,,经常性损益后的基本每股收益（元／股） 6.79 5.58 5.58 21.68 0.60 0.60 加权平均净资产收益率（%） 59.56 100.52 101.11 减少40.96个百分点 25.16 25.05 扣除非经常性损益后的加权平均净资产收益率（%） 59.43 100.98 100.,high,reviewed,
terminal_revenue,码头业务收入,2022,97.98,亿元,annual_report,中远海控2022年报.pdf,17,,中远海运港口码头业务收入97.98 亿元，同比增加18.67 亿元，增幅23.54%。,high,reviewed,规则抽取+人工核对年报确认
total_assets,总资产,2022,5117.8,亿元,annual_report,中远海控2022年报.pdf,7,,",586.73 49.88 43,963,870,585.06 43,913,865,928.85 总资产 511,779,713,798.98 414,275,122,319.14 413,668,080,701.40 23.54 271,627,898,782.71 271,926,073,831.",high,reviewed,
year_end_close,年末收盘价,2022,10.29,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年末收盘价,high,reviewed,自动获取
year_high,年度最高价,2022,19.93,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最高价,high,reviewed,自动获取
year_low,年度最低价,2022,10.13,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最低价,high,reviewed,自动获取
buyback_amount,回购金额,2023,12.61,亿元,annual_report,中远海控2023年报.pdf,54,,年报A+H回购总额12.61亿元（A股部分akshare交叉验证一致）,high,reviewed,A+H合计，A股部分akshare交叉验证一致
ccfi_average,CCFI 年均值,2023,937.29,点,external,,,file://data/external_sources/ccfi_annual_sources.md#2023,上海国际海事信息与文献网（SIMIC）2024年1月全年回顾确认最终均值,high,reviewed,年报未披露CCFI年均值，外部数据补齐
container_shipping_cost,集装箱航运成本,2023,1425.71,亿元,annual_report,中远海控2023年报.pdf,16,,集装箱航运业务成本1425.71亿元,high,reviewed,规则抽取，与收入口径一致
container_shipping_revenue,集装箱航运收入,2023,1681.26,亿元,annual_report,中远海控2023年报.pdf,16,,"集装箱航运业务收入1,681.26 亿元，同比减少2,159.10 亿元，降幅56.22%（其中：中远海运集运1,160.43 亿元，同比减少1,417.08 亿元，降幅54.98%）",high,reviewed,人工核对年报确认
dividend_per_share,每股股利,2023,0.74,元/股,annual_report,中远海控2023年报.pdf,2,,akshare: 中期0.51+末期0.23=0.74元/股（2023-12-12中期5.1元/10股，2024-06-12末期2.3元/10股）,high,reviewed,akshare分红数据+年报核对
dividend_total,分红总额,2023,118.66,亿元,annual_report,中远海控2023年报.pdf,2,,2023年度共计派发现金红利约人民币118.66亿元（中期81.96亿+末期36.70亿）,high,reviewed,年报原文+akshare交叉验证
eps,基本每股收益,2023,1.48,元/股,annual_report,中远海控2023年报.pdf,7,,标 2023年 2022年 本期比上年同期增减 (%) 2021年 调整后 调整前 调整后 调整前 基本每股收益（元／股） 1.48 6.83 6.83 -78.33 5.60 5.59 稀释每股收益（元／股） 1.48 6.78 6.77 -78.17 5.56 5.56 扣除非经常性损益,high,reviewed,
equity_parent,归属于上市公司股东的净资产,2023,1961.15,亿元,annual_report,中远海控2023年报.pdf,7,,"3年末 2022年末 本期末比上年同 期末增减（%） 2021年末 调整后 调整前 调整后 调整前 归属于上市公司股东的净资产 196,115,256,820.06 200,590,667,092.44 200,382,772,670.87 -2.23 133,784,817,857.95 133,693,829,778.",high,reviewed,
freight_volume,航运运量,2023,2355.5,万TEU,annual_report,中远海控2023年报.pdf,22,,本集团集装箱航运货运量合计2355.5万TEU,high,reviewed,年报行业经营性信息分析-集装箱航运业务-货运量表格合计行
interest_bearing_debt,有息负债,2023,525.40,亿元,annual_report,中远海控2023年报.pdf,91,,短期借款24.18亿；长期借款327.37亿；应付债券0.00亿(附注)；一年内到期非流动负债173.85亿；合计525.40亿,high,reviewed,短期借款+长期借款+应付债券+一年内到期的非流动负债
market_cap,年末总市值,2023,1222,亿元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价×流通股本,high,reviewed,自动获取
net_profit_parent,归属于上市公司股东的净利润,2023,238.6,亿元,annual_report,中远海控2023年报.pdf,7,,"7.18 -55.14 333,693,943,224.16 333,693,943,224.16 归属于上市公司股东的净利润 23,860,257,490.68 109,703,028,636.31 109,594,742,014.79 -78.25 89,440,508,480.10 89,348,947,262.6",high,reviewed,
operating_cash_flow,经营活动产生的现金流量净额,2023,226.12,亿元,annual_report,中远海控2023年报.pdf,7,,"717.10 -78.24 89,270,302,819.16 89,178,741,601.68 经营活动产生的现金流量净额 22,612,054,840.80 196,798,805,100.41 196,798,805,100.41 -88.51 171,008,537,026.07 171,008,537,026",high,reviewed,
pb_year_end,年末市净率PB,2023,0.62,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷每股净资产,high,reviewed,
pe_year_end,年末市盈率PE,2023,6.5,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷EPS,high,reviewed,
revenue,营业收入,2023,1754.48,亿元,annual_report,中远海控2023年报.pdf,7,,"据 2023年 2022年 本期比上年同期 增减(%) 2021年 调整后 调整前 调整后 调整前 营业收入 175,447,746,641.45 391,058,496,607.18 391,058,496,607.18 -55.14 333,693,943,224.16 333,693,943,224",high,reviewed,
